model,feature,code,code_system,type_of_data,data_alive_time,default_value,search_type
pima_diabetes,glucose,72-314,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
pima_diabetes,diastolic_blood_pressure,8462-4,,observation,0007-00-00T00:00:00,,latest
pima_diabetes,insulin,72-496,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
pima_diabetes,insulin,72-49B,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
pima_diabetes,weight,29463-7,http://loinc.org,observation,0007-00-00T00:00:00,,latest
pima_diabetes,height,8302-2,http://loinc.org,observation,0007-00-00T00:00:00,,latest
pima_diabetes,pregnancies,0,,observation,0007-00-00T00:00:00,6,latest
pima_diabetes,skinthickness,0,,observation,0007-00-00T00:00:00,35,latest
pima_diabetes,diabetespedigreefunction,0,,observation,0007-00-00T00:00:00,0.627,latest
pima_diabetes,hypertension,I10,,condition,0007-00-00T00:00:00,,latest
pima_diabetes,age,age,,patient,0007-00-00T00:00:00,,
qCSI,respiratory_rate,OA04,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
qCSI,spo2,OA08,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
qCSI,o2_flow_rate,3151-8,http://loinc.org,observation,0007-00-00T00:00:00,,latest
NSTI,sea,0,,condition,0007-00-00T00:00:00,,latest
NSTI,wbc,72A001,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
NSTI,crp,72-547,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
NSTI,seg,72A015,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
NSTI,band,72B015,https://www.cgmh.org.tw,observation,0007-00-00T00:00:00,,latest
